paper_id,author_id,author_order
p_39b07ceec72b,a_1701130,1
p_39b07ceec72b,a_1772133,2
p_23ffaa0fe06e,a_2574060,1
p_23ffaa0fe06e,a_2657155,2
p_23ffaa0fe06e,a_2054165706,3
p_23ffaa0fe06e,a_1789737,4
p_23ffaa0fe06e,a_3282833,5
p_bd3d145d79a4,a_2115693248,1
p_bd3d145d79a4,a_2213690868,2
p_bd3d145d79a4,a_2224462204,3
p_bd3d145d79a4,a_46396336,4
p_bd3d145d79a4,a_2118439046,5
p_bd3d145d79a4,a_2263219,6
p_acbd6dd44d02,a_2047463680,1
p_acbd6dd44d02,a_2624177,2
p_acbd6dd44d02,a_1752172,3
p_71b676fdf3ee,a_2068343122,1
p_71b676fdf3ee,a_1410066063,2
p_937229089e23,a_2052900336,1
p_937229089e23,a_34928812,2
p_937229089e23,a_2633037,3
p_d88af0f7552d,a_1717133,1
p_a3967f1a6f2b,a_1772133,1
p_a3967f1a6f2b,a_1701130,2
p_838cc3cc4cfc,a_153686780,1
p_38d7619976df,a_37682821,1
p_38d7619976df,a_1772363,2
p_db9b6d8cada3,a_2242958792,1
p_db9b6d8cada3,a_2243238565,2
p_db9b6d8cada3,a_2633037,3
p_f37463d0e62a,a_1737836,1
p_f37463d0e62a,a_144330671,2
p_f37463d0e62a,a_145594823,3
p_106f2d390346,a_20862008,1
p_106f2d390346,a_146521344,2
p_106f2d390346,a_146961287,3
p_106f2d390346,a_2287483,4
p_ad39278ea271,a_122192397,1
p_ad39278ea271,a_11223062,2
p_1c2f916c375c,a_145267291,1
p_1c2f916c375c,a_66807434,2
p_1c2f916c375c,a_35780376,3
p_1c2f916c375c,a_33656278,4
p_1c2f916c375c,a_37083060,5
p_1c2f916c375c,a_1726383,6
p_c9ac0e19e566,a_1772133,1
p_bacab55a58d7,a_48448318,1
p_bacab55a58d7,a_2052996328,2
p_bacab55a58d7,a_39660914,3
p_cda76c0f3590,a_2248334590,1
p_2ec40766f4d7,a_2116287579,1
p_2ec40766f4d7,a_1643846582,2
p_3b6a107d46a1,a_47641694,1
p_ceb2ebef0b41,a_2976930,1
p_ceb2ebef0b41,a_36436218,2
p_ceb2ebef0b41,a_1761103,3
p_6d01b10a7947,a_2238205450,1
p_327109fdbc62,a_70675870,1
p_327109fdbc62,a_144350339,2
p_327109fdbc62,a_3424424,3
p_c9cb2e7a3efb,a_27802227,1
p_c9cb2e7a3efb,a_2309941,2
p_767c8942c45c,a_38642661,1
p_767c8942c45c,a_3409999,2
p_767c8942c45c,a_1737836,3
p_13699950c9a6,a_27362922,1
p_13699950c9a6,a_1739411,2
p_13699950c9a6,a_1696756,3
p_c46c6f403dfc,a_37682821,1
p_c46c6f403dfc,a_1772363,2
p_79ba9e9ec975,a_1717411,1
p_79ba9e9ec975,a_144888943,2
p_79ba9e9ec975,a_3334450,3
p_64a2261b178f,a_2194602,1
p_64a2261b178f,a_7221783,2
p_64a2261b178f,a_3436871,3
p_64a2261b178f,a_2251839572,4
p_64a2261b178f,a_1971623,5
p_64a2261b178f,a_145417478,6
p_ba4fb54bbe4a,a_1771330,1
p_ba4fb54bbe4a,a_3308405,2
p_def88614aaf4,a_50039697,1
p_def88614aaf4,a_66992523,2
p_def88614aaf4,a_144552749,3
p_def88614aaf4,a_72183280,4
p_def88614aaf4,a_48950538,5
p_a3a0fb023282,a_2424385691,1
p_913d86a84afa,a_3161727,1
p_913d86a84afa,a_1401168034,2
p_913d86a84afa,a_1659266659,3
p_67571d29190f,a_3121264,1
p_67571d29190f,a_2815290,2
p_67571d29190f,a_2841331,3
p_d58bec9a0595,a_1706858,1
p_d58bec9a0595,a_2110759834,2
p_d58bec9a0595,a_1685479,3
p_8275f9dbe254,a_2248814327,1
p_8275f9dbe254,a_2075342218,2
p_acb10b1434e8,a_2153298,1
p_acb10b1434e8,a_2216992425,2
p_acb10b1434e8,a_143848280,3
p_718267df7e8d,a_27362922,1
p_718267df7e8d,a_1739411,2
p_718267df7e8d,a_1696756,3
p_718267df7e8d,a_7910112,4
p_3a152bb49ca3,a_11597598,1
p_3a152bb49ca3,a_1397872048,2
p_3a152bb49ca3,a_1407292159,3
p_829fe6dc7f53,a_27362922,1
p_829fe6dc7f53,a_1739411,2
p_829fe6dc7f53,a_1696756,3
p_7d8d6d30ce3b,a_2519482,1
p_7d8d6d30ce3b,a_145410044,2
p_7d8d6d30ce3b,a_2143818954,3
p_35a8c483ed06,a_46804802,1
p_35a8c483ed06,a_3152086,2
p_35a8c483ed06,a_1410066063,3
p_b4324589c4f1,a_1772133,1
p_b4324589c4f1,a_1701130,2
p_f6f5bb08f35a,a_34405222,1
p_f6f5bb08f35a,a_3084214,2
p_f6f5bb08f35a,a_143792396,3
p_89ad40ff11db,a_145243732,1
p_89ad40ff11db,a_37849025,2
p_648fde9363a1,a_1772133,1
p_648fde9363a1,a_1701130,2
p_742fefcc49ec,a_40566907,1
p_742fefcc49ec,a_30776886,2
p_742fefcc49ec,a_2819066,3
p_742fefcc49ec,a_2769334,4
p_0c73f108a19c,a_50856718,1
p_0c73f108a19c,a_2304738,2
p_0c73f108a19c,a_2188977413,3
p_8973ad5fc126,a_2263465506,1
p_8973ad5fc126,a_2151789838,2
p_8973ad5fc126,a_144661829,3
p_bcaba6eab3ec,a_2518996,1
p_bcaba6eab3ec,a_50856718,2
p_bcaba6eab3ec,a_3306197,3
